Link,Title,Authors,Publication Date,Journal Title,Abstract
https://www.nature.com/articles/s41598-024-72581-y,Prediction of early clinical response to neoadjuvant chemotherapy in Triple-negative breast cancer: Incorporating Radiomics through breast MRI,"['Hyo-jae Lee', 'Jeong Hoon Lee', 'Jong Eun Lee', 'Yong Min Na', 'Min Ho Park', 'Ji Shin Lee', 'Hyo Soon Lim']",2024-09-17,Scientific Reports,"This study assessed pretreatment breast MRI coupled with machine learning for predicting early clinical responses to neoadjuvant chemotherapy (NAC) in triple-negative breast cancer (TNBC), focusing on identifying non-responders. A retrospective analysis of 135 TNBC patients (107 responders, 28 non-responders) treated with NAC from January 2015 to October 2022 was conducted. Non-responders were defined according to RECIST guidelines. Data included clinicopathologic factors and clinical MRI findings, with radiomics features from contrast-enhanced T1-weighted images, to train a stacking ensemble of 13 machine learning models. For subgroup analysis, propensity score matching was conducted to adjust for clinical disparities in NAC response. The efficacy of the models was evaluated using the area under the receiver-operating-characteristic curve (AUROC) before and after matching. The model combining clinicopathologic factors and clinical MRI findings achieved an AUROC of 0.752 (95% CI 0.644–0.860) for predicting non-responders, while radiomics-based models showed 0.749 (95% CI 0.614–0.884). An integrated model of radiomics, clinicopathologic factors, and clinical MRI findings reached an AUROC of 0.802 (95% CI 0.699–0.905). After propensity score matching, the hierarchical order of key radiomics features remained consistent. Our study demonstrated the potential of using machine learning models based on pretreatment MRI to non-invasively predict TNBC non-responders to NAC."
https://www.nature.com/articles/s41598-024-72226-0,Exosomal fragment enclosed polyamine-salt nano-complex for co-delivery of docetaxel and mir-34a exhibits higher cytotoxicity and apoptosis in breast cancer cells,"['Moumita Basak', 'Mrunal Kulkarni', 'Saibhargav Narisepalli', 'Deepak Chitkara', 'Anupama Mittal']",2024-09-17,Scientific Reports,"A novel core–shell nanocarrier system has been designed for co-delivery of a small anticancer drug, docetaxel (DTX) and tumor suppressor (TS) miR-34a named as Exo(PAN34a+DTX). The core is formed by pH dependent polyamine salt aggregates (PSA) containing both the payloads and the shell is formed by RAW 264.7 cell derived exosomal fragments. Herein, phosphate driven polyallylamine hydrochloride (PAH, MW:17,500 Da) PSA was formed in presence of miR-34a and DTX to form PAN34a+DTX. The formulation exhibited pH dependent DTX release with only 33.55 ± 2.12% DTX release at pH 7.2 and 75.21 ± 1.8% DTX release till 144 h at pH 5.5. At 1.21 molar ratio of phosphate to the amine (known as R value), efficient complexation of miR-34a (3.6 μM) in the PAN particles was obtained. PAN34a+DTX demonstrated particle size (163.86 ± 12.89 nm) and zeta-potential value of 17.53 ± 5.10 mV which upon exosomal fragment layering changed to − 7.23 ± 2.75 mV which is similar to the zeta-potential of the exosomal fragments, i.e., − 8.40 ± 1.79 mV. The final formulation Exo(PAN34a+DTX), loaded with 40 ng/mL DTX and 50 nM miR-34a exhibited 48.20 ± 4.59% cytotoxicity in triple negative breast cancer (TNBC) cells, 4T1. Co-localization of CM-DiI (red fluorescence) stained exosomal fragments and FAM-siRNA (green fluorescence) in the cytoplasm of 4T1 cells after 6 h of Exo(PANFAM) treatment confirmed the efficiency of the designed system to co-deliver two actives. Exo(PAN34a+DTX) also reduced BCL-2 expression (target gene for miR-34a) by 8.98 folds in comparison to free DTX confirming promising co-delivery and apoptosis inducing effect of Exo(PAN34a+DTX) in 4T1."
https://www.nature.com/articles/s44303-024-00039-x,Real-time tracking of the Bragg peak during proton therapy via 3D protoacoustic Imaging in a clinical scenario,"['Siqi Wang', 'Gilberto Gonzalez', 'Leshan Sun', 'Yifei Xu', 'Prabodh Pandey', 'Yong Chen', 'Shawn (Liangzhong) Xiang']",2024-09-17,npj Imaging,"Proton radiotherapy favored over X-ray photon therapy due to its reduced radiation exposure to surrounding healthy tissues, is highly dependent on the accurate positioning of the Bragg peak. Existing methods like PET and prompt gamma imaging to localize Bragg peak face challenges of low precision and high complexity. Here we introduce a 3D protoacoustic imaging with a 2D matrix array of 256 ultrasound transducers compatible with 256 parallel data acquisition channels provides real-time imaging capability (up to 75 frames per second with 10 averages), achieving high precision (5 mm/5% Gamma index shows accuracy better than 95.73%) at depths of tens of centimeters. We have successfully implemented this method in liver treatment with 5 pencil beam scanning and in prostate cancer treatment on a human torso phantom using a clinical proton machine. This demonstrates its capability to accurately identify the Bragg peak in practical clinical scenarios. It paves the way for adaptive radiotherapy with real-time feedback, potentially revolutionizing radiotherapy by enabling closed-loop treatment for improved patient outcomes."
https://www.nature.com/articles/s41598-024-72907-w,Enhanced efficacy of combined VEGFR peptide–drug conjugate and anti-PD-1 antibody in treating hepatocellular carcinoma,"['Jiacheng Liu', 'Yaowei Bai', 'Xiaoming Liu', 'Binqian Zhou', 'Peng Sun', 'Yingliang Wang', 'Shuguang Ju', 'Chen Zhou', 'Chaoyang Wang', 'Wei Yao', 'Huihui Yang', 'Xin Jiang', 'Lian Yang', 'Dongyuan Wang', 'Chuansheng Zheng']",2024-09-17,Scientific Reports,"This study aimed to design a VEGFR-targeting peptide–drug conjugate with the ability to decrease tumor burden and suppress tumor angiogenesis, and to further evaluate the therapeutic effect of anti-PD-1 antibody in HCC therapy. A VEGFR-targeting peptide VEGF125 − 136 (QR) was conjugated with a lytic peptide (KLU) to form a peptide–drug conjugate QR-KLU. And the efficacy of QR-KLU in combination with anti-PD-1 antibody for HCC therapy in vivo and in vitro were evaluated. QR-KLU inhibited the proliferation and migration of mouse HCC cell line (Hepa1–6) cells under normoxic and hypoxic conditions in a dose-dependent manner. In the subcutaneous Hepa1–6 tumor model, QR-KLU combined with the anti-PD-1 antibody substantially inhibited tumor growth, promoted tumor necrosis, and prolonged the survival time of tumor-bearing mice. QR-KLU substantially inhibited hypoxia-induced expression of VEGF, promoted tumor vascular normalization, and increased cluster of differentiation 8+ (CD8+) T cell infiltration in the tumor. In addition, QR-KLU and anti-PD-1 antibody demonstrated a strong synergistic effect in promoting the activation of intratumoral CD8+ T cells, reducing the expression of immune-inhibitory factors, and increasing the expression of immune-stimulatory factors. This study proposed a novel approach for enhancing the efficacy of anti-PD-1 antibody using a VEGFR-targeting peptide–drug conjugate in HCC therapy."
https://www.nature.com/articles/s41598-024-72492-y,Targeted inhibition of glycogen synthase kinase-3 using 9-ING-41 (elraglusib) enhances CD8 T-cell-reactivity against neuroblastoma cells,"['A. Markovska', 'K. Somers', 'J. Guillaume', 'J. Melief', 'A. P. Mazar', 'D. M. Schmitt', 'H. S. Schipper', 'M. Boes']",2024-09-17,Scientific Reports,"The prognosis of patients with high-risk neuroblastoma remains poor, partly due to inadequate immune recognition of the tumor. Neuroblastomas display extremely low surface MHC-I, preventing recognition by cytotoxic T lymphocytes (CTLs) and contributing to an immunosuppressive tumor microenvironment. Glycogen synthase kinase-3 beta (GSK-3β) is involved in pathways that may affect the MHC-I antigen processing and presentation pathway. We proposed that therapeutic inhibition of GSK-3β might improve the surface display of MHC-I molecules on neuroblastoma cells, and therefore tested if targeting of GSK-3β using the inhibitor 9-ING-41 (Elraglusib) improves MHC-I-mediated CTL recognition. We analyzed mRNA expression data of neuroblastoma tumor datasets and found that non-MYCN-amplified neuroblastomas express higher GSK-3β levels than MYCN-amplified tumors. In non-MYCN-amplified cells SH-SY5Y, SK-N-AS and SK-N-SH 9-ING-41 treatment enhanced MHC-I surface display and the expression levels of a subset of genes involved in MHC-I antigen processing and presentation. Further, 9-ING-41 treatment triggered increased STAT1 pathway activation, upstream of antigen presentation pathways in two of the three non-MYCN-amplified cell lines. Finally, in co-culture experiments with CD8 + T cells, 9-ING-41 improved immune recognition of the neuroblastoma cells, as evidenced by augmented T-cell activation marker levels and T-cell proliferation, which was further enhanced by PD-1 immune checkpoint inhibition. Our preclinical study provides experimental support to further explore the GSK-3β inhibitor 9-ING-41 as an immunomodulatory agent to increase tumor immune recognition in neuroblastoma."
https://www.nature.com/articles/s43018-024-00813-1,Vascular heterogeneity of tight junction Claudins guides organotropic metastasis,"['Xunian Zhou', 'Valerie S. LeBleu', 'Eliot Fletcher-Sananikone', 'Jiha Kim', 'Jianli Dai', 'Bingrui Li', 'Chia-Chin Wu', 'Hikaru Sugimoto', 'Toru Miyake', 'Lisa M. Becker', 'Olga V. Volpert', 'Erica Lawson', 'Cristina Espinosa Da Silva', 'Sarah I. Patel', 'Akane Kizu', 'Ehsan A. Ehsanipour', 'Di Sha', 'Jose Antonio Karam', 'Kathleen M. McAndrews', 'Raghu Kalluri']",2024-09-17,Nature Cancer,"Carcinomas are associated with metastasis to specific organs while sparing others. Breast cancer presents with lung metastasis but rarely kidney metastasis. Using this difference as an example, we queried the mechanism(s) behind the proclivity for organ-specific metastasis. We used spontaneous and implant models of metastatic mammary carcinoma coupled with inflammatory tissue fibrosis, single-cell sequencing analyses and functional studies to unravel the causal determinants of organ-specific metastasis. Here we show that lung metastasis is facilitated by angiopoietin 2 (Ang2)-mediated suppression of lung-specific endothelial tight junction protein Claudin 5, which is augmented by the inflammatory fibrotic microenvironment and prevented by anti-Ang2 blocking antibodies, while kidney metastasis is prevented by non-Ang2-responsive Claudins 2 and 10. Suppression of Claudins 2 and 10 was sufficient to induce the emergence of kidney metastasis. This study illustrates the influence of organ-specific vascular heterogeneity in determining organotropic metastasis, independent of cancer cell-intrinsic mechanisms."
https://www.nature.com/articles/s41392-024-01957-3,Sintilimab combined with anlotinib and chemotherapy as second-line or later therapy in extensive-stage small cell lung cancer: a phase II clinical trial,"['Xiao Han', 'Jun Guo', 'Lingyu Li', 'Yong Huang', 'Xue Meng', 'Linlin Wang', 'Hui Zhu', 'Xiangjiao Meng', 'Qian Shao', 'Xing Li', 'Yan Zhang', 'Jin Wang', 'Yanhua Chen', 'Yingjie Zhang', 'Yiru Chen', 'Changbin Zhu', 'Zhehai Wang']",2024-09-16,Signal Transduction and Targeted Therapy,"Treatment options for patients with relapsed extensive-stage small cell lung cancer (ES-SCLC) remain scarce. This study aims to evaluate the efficacy and safety of combining anlotinib and sintilimab plus chemotherapy as a second line or later therapy for ES-SCLC patients. This is a phase II clinical trial (ChiCTR2100049390) conducting at Shandong Cancer Hospital. Patients with ES-SCLC and received at least one prior systemic treatment were enrolled. The trial design involved a combination therapy (sintilimab, anlotinib, and nab-paclitaxel) administered over six 21-day cycles, followed by maintenance sintilimab therapy. The primary endpoint was objective response rate (ORR). Circulating tumor DNA sequencing was employed for exploratory analysis. From July 2021 to April 2023, 25 eligible patients were enrolled. The confirmed ORR was 60% (95% CI: 38.7–78.9%) and the DCR was 76% (95% CI: 54.9–90.6%). The mPFS was 6.0 months (95% CI: 5.4–9.7), and the 6-month PFS rate was 49.2%. The mOS was 13.4 months (95% CI: 11.8-NR), with a 12-month survival rate of 62.2%. Treatment-related adverse events (TRAEs) of any grade occurred in 80% of patients, with the most common being fatigue (40%) and nausea (32%). TRAEs of Grade 3 or higher were reported in 12% of patients. ctDNA analysis indicated that low on-treatment blood tumor mutation burden was associated with longer PFS and OS and a potential role of KMT2D mutation in treatment resistance. This combination therapy shows promising efficacy and a manageable safety profile as a second-line or later treatment for ES-SCLC, with genomic insights providing potential biomarkers for treatment response."
https://www.nature.com/articles/s41598-024-72944-5,Risk factor analysis and prediction model to establish recurrence or progression of non-functioning pituitary adenomas in men after transnasal sphenoidal surgery,"['Jiansheng Zhong', 'Yuyang Chen', 'Mingyue Wang', 'Jun Li', 'Ziqi Li', 'Haixiang Li', 'Liangfeng Wei', 'Shousen Wang']",2024-09-16,Scientific Reports,"This paper aims to analyze the risk factors for the recurrence or progression of non-functioning pituitary adenomas (NFPAs) in male patients after transnasal sphenoidal surgery and to develop a predictive model for prognosis. Clinical and follow-up data of 126 male patients with NFPAs treated by transnasal sphenoidal surgery from January 2011 to January 2021 in Fuzhou 900th Hospital were retrospectively analyzed. Lasso regression analysis was used to screen the best predictors, and the predictors were further screened by multivariate logistic regression analysis, and the nomogram prediction model was constructed. The performance of the model was verified by three aspects: discrimination, calibration and clinical utility by using the consistency index (C-index), receiver operating characteristic curve (ROC), calibration curve, clinical decision curve (DCA) and Clinical impact curve (CIC).  Out of 126 cases, 7 (5.56%) showed postoperative tumor recurrence, and 18 (14.29%) exhibited postoperative residual regrowth (progression). Age (P = 0.024), maximum tumor diameter (P < 0.001), modified Knosp grade (P < 0.001), resection extent (P < 0.001), Ki67 (P < 0.001), pressure symptom (P < 0.001), Pre-op hypopituitarism (P = 0.048), Post-op new hypopituitarism (P = 0.017) showed significant differences among the recurrence group, the progression group, and the alleviation group. Three independent risk factors (Ki67, modified Knosp grade, and resection extent) affecting postoperative remission were used to construct a predictive model for long-term postoperative failure to remit. The C-index of the nomogram model was 0.823, suggesting that the model had a high discriminatory power, and the AUC of the area under the ROC curve was 0.9[95% CI (0.843, 0.958)].  A nomogram prediction model based on modified Knosp grading (grades 3B-4), resection extent (partial resection), and Ki-67 (≥ 3%) predicts the recurrence or progression of NFPAs in men after transnasal sphenoidal surgery."
https://www.nature.com/articles/s41467-024-52278-6,Biodegradable copper-iodide clusters modulate mitochondrial function and suppress tumor growth under ultralow-dose X-ray irradiation,"['Xiaoqian Ma', 'Nuo Lin', 'Qing Yang', 'Peifei Liu', 'Haizhen Ding', 'Mengjiao Xu', 'Fangfang Ren', 'Zhiyang Shen', 'Ke Hu', 'Shanshan Meng', 'Hongmin Chen']",2024-09-16,Nature Communications,"Both copper (Cu2+/+) and iodine (I−) are essential elements in all living organisms. Increasing the intracellular concentrations of Cu or I ions may efficiently inhibit tumor growth. However, efficient delivery of Cu and I ions into tumor cells is still a challenge, as Cu chelation and iodide salts are highly water-soluble and can release in untargeted tissue. Here we report mitochondria-targeted Cu-I cluster nanoparticles using the reaction of Cu+ and I− to form stable bovine serum albumin (BSA) radiation-induced phosphors (Cu-I@BSA). These solve the stability issues of Cu+ and I− ions. Cu-I@BSA exhibit bright radioluminescence, and easily conjugate with the emission-matched photosensitizer and targeting molecule using functional groups on the surface of BSA. Investigations in vitro and in vivo demonstrate that radioluminescence under low-dose X-ray irradiation excites the conjugated photosensitizer to generate singlet oxygen, and combines with the radiosensitization mechanism of the heavy atom of iodine, resulting in efficient tumor inhibition in female mice. Furthermore, our study reveals that BSA protection causes the biodegradable Cu-I clusters to release free Cu and I ions and induce cell death by modulating mitochondrial function, damaging DNA, disrupting the tricarboxylic acid cycle, decreasing ATP generation, amplifying oxidative stress, and boosting the Bcl-2 pathway."
https://www.nature.com/articles/s41598-024-69244-3,Leveraging immuno-fluorescence data to reduce pathologist annotation requirements in lung tumor segmentation using deep learning,"['Hatef Mehrabian', 'Jens Brodbeck', 'Peipei Lyu', 'Edith Vaquero', 'Abhishek Aggarwal', 'Lauri Diehl']",2024-09-16,Scientific Reports,"The main bottleneck in training a robust tumor segmentation algorithm for non-small cell lung cancer (NSCLC) on H&E is generating sufficient ground truth annotations. Various approaches for generating tumor labels to train a tumor segmentation model was explored. A large dataset of low-cost low-accuracy panCK-based annotations was used to pre-train the model and determine the minimum required size of the expensive but highly accurate pathologist annotations dataset. PanCK pre-training was compared to foundation models and various architectures were explored for model backbone. Proper study design and sample procurement for training a generalizable model that captured variations in NSCLC H&E was studied. H&E imaging was performed on 112 samples (three centers, two scanner types, different staining and imaging protocols). Attention U-Net architecture was trained using the large panCK-based annotations dataset (68 samples, total area 10,326 [mm2]) followed by fine-tuning using a small pathologist annotations dataset (80 samples, total area 246 [mm2]). This approach resulted in mean intersection over union (mIoU) of 82% [77 87]. Using panCK pretraining provided better performance compared to foundation models and allowed for 70% reduction in pathologist annotations with no drop in performance. Study design ensured model generalizability over variations on H&E where performance was consistent across centers, scanners, and subtypes."
https://www.nature.com/articles/s41598-024-72835-9,Clinical efficacy of enhanced recovery surgery in Da Vinci robot-assisted pancreatoduodenectomy,"['Zhenxing Liu', 'Honghong Chen', 'Zhengbiao Li', 'Jinlong Liang', 'Tao Zhang', 'Weiwei Ning', 'Jiwei Wang']",2024-09-15,Scientific Reports,"Da Vinci robot-assisted pancreaticoduodenectomy offers advantages, including minimal invasiveness, precise, and safe procedures. This study aimed to investigate the clinical effectiveness of implementing enhanced recovery after surgery (ERAS) concepts in Da Vinci robot-assisted pancreaticoduodenectomy. A retrospective analysis was conducted on clinical data from 62 patients who underwent Da Vinci robot-assisted pancreaticoduodenectomy between January 2018 and December 2022. Among these patients, 30 were managed with ERAS principles, while 32 were managed using traditional perioperative management protocols. Surgical time, intraoperative blood loss, postoperative oral intake time, time to return of bowel function, time to ambulation, visual analog scale (VAS) pain scores, fluid replacement volume, length of hospital stay, total hospital expenses, complications, and patient satisfaction were recorded and compared between the two groups. Postoperative follow-up included assessment of postoperative functional scores, reoperation rates, SF-36 quality of life scores, and survival rates. The average follow-up time was 35.6 months (range: 12–56 months). There were no statistically significant differences in general characteristics, including age, surgical time, intraoperative blood loss, and preoperative medical history between the two groups (P > 0.05). Compared to the control group, the intervention group had an earlier postoperative oral intake time, faster return of bowel function, rapid ambulation, and shorter hospital stays (P < 0.05). The intervention group also had lower postoperative VAS scores, lower fluid replacement volume, lower total hospital expenses, and a lower rate of complications (P < 0.05). Patient satisfaction was higher in the intervention group (P < 0.05). There were no statistically significant differences between the two groups in two-year functional scores, reoperation rates, quality of life scores, and survival rates (P > 0.05). Implementing ERAS principles in Da Vinci robot-assisted pancreaticoduodenectomy substantially expedited postoperative recovery, lowered pain scores, and diminished complications. However, there were no notable differences in long-term outcomes between the two groups. "
https://www.nature.com/articles/s41598-024-72893-z,Associations of head and neck cancers with herpes zoster in the preceding five years,"['Chao-Hung Chen', 'Sudha Xirasagar', 'Shih-Han Hung', 'Herng-Ching Lin', 'Chin-Shyan Chen']",2024-09-15,Scientific Reports,"This population-based study investigated the risk of having had prior herpes zoster within five years preceding a diagnosis of head and neck cancer. We conducted a case-control study that included 9,191 patients with a diagnosis of head and neck cancer in Taiwan’s Longitudinal Health Insurance Database 2010 and 36,764 matched controls. We assessed the odds of patients with head and neck cancer having had a diagnosis of herpes zoster during the five years preceding head and neck cancer using multiple logistic regression analysis. The prevalence of prior herpes zoster among the total sample was 4.6%, 7.9% and 3.8% among patients with and without head and neck cancer, respectively (p < 0.001). The odds ratio of herpes zoster among the head and neck cancer- versus control group was 2.198 (95% CI = 2.001 ~ 2.415) after adjusting for sociodemographic characteristics and hypertension, diabetes, hyperlipidemia, tobacco use disorder, HPV infection, and alcohol dependence syndrome. Statistically significant excess odds were observed for all specific subtypes of head and neck cancer except for sinonasal cancer. Herpes zoster infection within the 5 years preceding a diagnosis of head and neck cancer may be a harbinger of developing head and neck cancer."
https://www.nature.com/articles/s41698-024-00696-6,Proteomics based selection achieves complete response to HER2 therapy in HER2 IHC 0 breast cancer,"['Laura E. Johnston', 'Jamie Randall', 'Safae Chouraichi', 'Mary Luu', 'Allison L. Hunt', 'Lauren Mauro', 'Claudius Mueller', 'Justin B. Davis', 'Emanuel F. Petricoin', 'Thomas P. Conrads', 'Timothy L. Cannon', 'Jasmine Huynh']",2024-09-14,npj Precision Oncology,"Recent trials have shown the efficacy of trastuzumab deruxtecan (T-DXd) in HER2-negative patients, but there is not yet a way to identify which patients will best respond, especially with the inability of current HER2 IHC and FISH assays to accurately determine HER2 expression in the unamplified setting. Here, we present a heavily pre-treated patient with triple-negative breast cancer (HER2 IHC 0 who had a complete response to T-DXd. In this case, we used a CLIA-certified reverse-phase protein array-based proteomic assay (RPPA) to determine that the patient had moderate HER2 protein expression (HER2Total 2+, 42%) and activation (HER2Y1248 1+, 23%). Using these results, we determined that the patient may benefit from T-Dxd despite being traditionally qualified as HER2 IHC 0. These findings highlight the potential for proteomics-based assays that may more accurately quantitate HER2 and (its activation) in the HER2 unamplified/IHC 0 setting to better select patients whose tumors are classically molecularly defined as HER2 IHC 0, but still could respond to HER2-directed therapy, and give patients access to therapies which for which they otherwise would not be eligible."
https://www.nature.com/articles/s41598-024-72619-1,Qualitative evaluation of trace elements in commercially packaged forms of tobacco using laser-induced breakdown spectroscopy,"['A. Kripa Adlene Edith', 'Ravikiran Ongole', 'V. K. Unnikrishnan', 'U. K. Adarsh']",2024-09-14,Scientific Reports,"Oral cancer is the most common malignancy in many developing countries, such as India, due to increased consumption of smokeless tobacco. The trace elemental components in commercially packaged forms of tobacco can play a significant role in the pathogenesis of oral cancer. To qualitatively assess the trace elements in various types of commercially packaged forms of tobacco using laser-induced breakdown spectroscopy (LIBS). Two popular varieties of ‘Paan masala’ that contained a mixture of slaked lime with areca nut, catechu, and other flavouring agents (tobacco was absent) and four types of packaged tobacco were obtained from ‘Paan’ shops. The contents in the packets were made into pellets using a hydraulic press and subjected to elemental analysis using LIBS. A ten-trial experiment was carried out on all six pellets. The National Institute of Standards and Technology (NIST) database was used to assess the emission lines. The elements obtained from commercially packaged tobacco and Paan masala were similar: calcium (Ca), iron (Fe), aluminium (Al), nickel (Ni), and chromium (Cr). Substances that cause DNA damage and carcinogenesis are inorganic elements such as nickel. Our study revealed that carcinogens such as nickel are present in the commercially packaged forms of tobacco and ‘Paan masala’ samples."
https://www.nature.com/articles/s41598-024-72646-y,Consistent FFP2-masking as part of reducing viral respiratory infections on medical wards for allogeneic hematopoietic stem cell transplantation,"['T. Richardson', 'D. Schütte', 'K. Feyer', 'L. Grass', 'M. Hallek', 'C. Scheid', 'F. Simon', 'T. Braun', 'M. Fürstenau', 'P. Gödel', 'U. Holtick']",2024-09-14,Scientific Reports,"Patients undergoing allogenic hematopoietic stem cell transplantation (allo-HSCT) are highly susceptible to infections. The consequent use of masks on wards for allo-HSCT has been controversial in the past decades and was not common before the COVID-19 pandemic. We retrospectively compared incidence and outcomes of viral respiratory infections during allo-HSCT on our specialized ward between 01/2018 and 09/2020 to the era of FFP2 masking between 10/2020 and 10/2022 covering similar seasons of the year. Each group consisted of 150 matched patients. The usage of FFP2 masks reduced the incidence of viral respiratory infections from 22.1 to 2.1% (p < 0.005). This reduced the time on ward from a median of 26 days to 23.5 days (p = 0.002). It also resulted in less use of CT-scans (p = 0.003) and bronchoalveolar lavage procedures (p = 0.057). Median time to proof of infection was 21 days after admission in both groups. No difference was detected in progression free survival, hospital survival or non-relapse mortality (p = 0.78). Our retrospective results indicate that FFP2 masks worn by patients and hospital staff may help to significantly reduce the incidence of viral respiratory infections, including COVID-19, shorten the in-hospital time, and reduce costs without affecting survival."
https://www.nature.com/articles/s41598-024-72625-3,Prognostic analysis of appendectomy versus right hemicolectomy for T1 appendiceal adenocarcinoma: a multicenter retrospective analysis,"['Qiao Zhang', 'Guobing Xia', 'Ali Mo', 'Zhifen Guan', 'Yang Su', 'Feng Xia', 'Fei Pei']",2024-09-14,Scientific Reports,"Appendiceal adenocarcinoma, an exceedingly rare malignancy, sparks debate on the optimal surgical approach—appendectomy or right hemicolectomy—for early-stage cases. This study aims to investigate the impact of these two surgical methods on the survival prognosis of patients with early appendiceal adenocarcinoma."
https://www.nature.com/articles/s41598-024-72730-3,Development and validation of a prognostic nomogram for esophageal cancer patients based on SEER Asian population,"['Xinwei Guo', 'Lang Qin', 'Jie Tian', 'Pengcheng Li', 'Zhenling Dou', 'Yu Gong', 'Haobiao Wang']",2024-09-14,Scientific Reports,"This study aims to develop and validate a nomogram for predicting overall survival (OS) in Asian patients with Esophageal Cancer (EC). Data from Asian EC patients were collected from the Surveillance, Epidemiology, and End Results (SEER) database. The patients were randomly divided into training and validation cohorts in a 7:3 ratio. The Least Absolute Shrinkage and Selection Operator (LASSO) regression was used for initial variable selection, followed by multivariate Cox regression analysis to identify independent prognostic factors. A nomogram was subsequently constructed based on these factors. The predictive performance of the nomogram was evaluated using receiver operating characteristic (ROC) curves and calibration curves, while the clinical utility of the nomogram was assessed through decision curve analysis (DCA). The LASSO regression and multivariate Cox regression analysis identified age, sex, marital status, tumor size, M stage, surgery, and chemotherapy as independent prognostic factors. The ROC curve results demonstrated that the area under the curve (AUC) values for predicting 1-year, 3-year, and 5-year OS in the training cohort were 0.770, 0.756, and 0.783, respectively. In the validation cohort, the AUC values were 0.814, 0.763, and 0.771, respectively. Calibration curves indicated a high concordance between predicted and actual OS. The DCA demonstrated that the nomogram has significant clinical applicability. This nomogram provides reliable predictions and valuable guidance for personalized survival estimates and high-risk patient identification."
https://www.nature.com/articles/s41598-024-72326-x,Development of microsurgical forceps equipped with haptic technology for in situ differentiation of brain tumors during microsurgery,"['Taketo Ezaki', 'Kouki Kishima', 'Shunsuke Shibao', 'Takuya Matsunaga', 'Eriel Sandika Pareira', 'Yohei Kitamura', 'Yuji Nakayama', 'Noboru Tsuda', 'Kento Takahara', 'Takashi Iwama', 'Oltea Sampetrean', 'Masahiro Toda', 'Kouhei Ohnishi', 'Tomoyuki Shimono', 'Hikaru Sasaki']",2024-09-13,Scientific Reports,"The stiffness of human cancers may be correlated with their pathology, and can be used as a biomarker for diagnosis, malignancy prediction, molecular expression, and postoperative complications. Neurosurgeons perform tumor resection based on tactile sensations. However, it takes years of surgical experience to appropriately distinguish brain tumors from surrounding parenchymal tissue. Haptics is a technology related to the touch sensation. Haptic technology can amplify, transmit, record, and reproduce real sensations, and the physical properties (e.g., stiffness) of an object can be quantified. In the present study, glioblastoma (SF126-firefly luciferase-mCherry [FmC], U87-FmC, U251-FmC) and malignant meningioma (IOMM-Lee-FmC, HKBMM-FmC) cell lines were transplanted into nude mice, and the stiffness of tumors and normal brain tissues were measured using our newly developed surgical forceps equipped with haptic technology. We found that all five brain tumor tissues were stiffer than normal brain tissue (p < 0.001), and that brain tumor pathology (three types of glioblastomas, two types of malignant meningioma) was significantly stiffer than normal brain tissue (p < 0.001 for all). Our findings suggest that tissue stiffness may be a useful marker to distinguish brain tumors from surrounding parenchymal tissue during microsurgery, and that haptic forceps may help neurosurgeons to sense minute changes in tissue stiffness."
https://www.nature.com/articles/s41598-024-72830-0,"Establishment and characterization of a novel human gallbladder cancer cell line, GBC-X1","['Changpeng Chai', 'Huan Tang', 'Xin Miao', 'Tingting Chen', 'Yuanhui Su', 'Lu Li', 'Long Miao', 'Bo Zhang', 'Zhengfeng Wang', 'Wei Luo', 'Hui Zhang', 'Hao Xu', 'Wence Zhou']",2024-09-13,Scientific Reports,"In this study, we successfully established a novel gallbladder cancer cell line, designated as GBC-X1, derived from a primary tumor of a gallbladder cancer patient. By comprehensively analyzing the cell line’s phenotype, molecular characteristics, biomarkers, and histological characteristics, we confirmed that GBC-X1 serves as a valuable model for investigating the pathogenesis of gallbladder cancer and developing therapeutic agents. GBC-X1 has been continuously cultured for one year, with over 60 stable passages. Morphologically, GBC-X1 exhibits typical features of epithelial tumors. The population doubling time of GBC-X1 is 32 h. STR analysis validated a high consistency between GBC-X1 and the patient’s primary tumor. Karyotype analysis revealed an abnormal hypertetraploid karyotype for GBC-X1, characterized by representative karyotypes of 98, XXXX del (4) p (12) del (5) p (21) der (10). Under suspension culture conditions, GBC-X1 efficiently forms tumor balls, while subcutaneous inoculation of GBC-X1 cells into NXG mice leads to xenograft formation with a rate of 80%. Drug sensitivity testing demonstrated that GBC-X1 is resistant to oxaliplatin and sensitive to 5-FU, gemcitabine, and paclitaxel. Immunohistochemistry revealed positive expression of CK7, CK19, E-cadherin, MMP-2, CD44, SOX2, and TP53 in GBC-X1 cells, weak positive expression of Vimentin, and a Ki67 positive rate of 35%. Our research highlights GBC-X1 as a novel gallbladder cancer cell line and emphasizes its potential as an effective experimental model for investigating the pathogenesis of gallbladder cancer and drug development."
